eBird_count,eBird_code,State,County,PerCapitaIncome,Population,Region,Subregion,logcheck,logGDP,logpop,RDistance,RDistance_Deviation
2988,US-MS-035,Mississippi,Forrest,19736,75991,South,East South Central,8.002359546252707,9.890199658209193,11.23837019120351,-0.3417076410520006,-0.649718040969286
93,US-MS-037,Mississippi,Franklin,24234,8013,South,East South Central,4.532599493153256,10.095511884791469,8.98882050177807,1.0938051069387953,1.511585755104389
378,US-MS-039,Mississippi,George,20217,22757,South,East South Central,5.934894195619588,9.914279113614327,10.032628069359218,0.47215490948740085,0.5756310354669825
123,US-MS-041,Mississippi,Greene,14463,14337,South,East South Central,4.812184355372417,9.579348943073732,9.570598887246268,0.7510773141170505,0.9955757923350868
433,US-MS-043,Mississippi,Grenada,21084,21745,South,East South Central,6.07073772800249,9.956269737975097,9.987139125031739,0.3996035362235419,0.4663979000141568
6121,US-MS-045,Mississippi,Hancock,22621,44597,South,East South Central,8.71948076085107,10.026633957357836,10.7054218711718,-0.9054013388326524,-1.4984136241616557
11943,US-MS-047,Mississippi,Harrison,22677,190756,South,East South Central,9.387900611668426,10.029106473960287,12.15875040343576,-0.6821479353303495,-1.1622839526200768
3008,US-MS-049,Mississippi,Hinds,20448,246300,South,East South Central,8.00903068506973,9.925640357177262,12.414305584108629,0.1521425319753212,0.0938213355702217
163,US-MS-051,Mississippi,Holmes,12113,18931,South,East South Central,5.093750200806762,9.402034535016803,9.84855606900991,0.5414055070178604,0.6798945326267527
484,US-MS-053,Mississippi,Humphreys,12874,9258,South,East South Central,6.182084906716632,9.462965052612562,9.133243321591216,-0.40592464130137274,-0.7464029687804057
226,US-MS-055,Mississippi,Issaquena,13731,1383,South,East South Central,5.420534999272286,9.527411329321751,7.232010331664759,-0.6916402753291243,-1.176575591967543
569,US-MS-057,Mississippi,Itawamba,18106,23366,South,East South Central,6.343880434126331,9.803998654035386,10.059037253277094,0.1378737890284497,0.07233835790984457
23973,US-MS-059,Mississippi,Jackson,23879,139906,South,East South Central,10.084683476042573,10.080754690582811,11.848726047510901,-1.1895425394872892,-1.9262157850657229
142,US-MS-061,Mississippi,Jasper,18075,16827,South,East South Central,4.955827057601261,9.802285047026965,9.730740018176446,0.8914915306083221,1.2069830261266754
85,US-MS-063,Mississippi,Jefferson,12723,7690,South,East South Central,4.442651256490317,9.4511666581427,8.94767606249969,0.6515787990863905,0.8457711190290175
